Team,Division,Conference,01-02 Salary,01-02 Win,01-02 Loss,01-02 PO,02-03 Salary,02-03 Win,02-03 Loss,02-03 PO,03-04 Salary,03-04 Win,03-04 Loss,03-04 PO,04-05 Salary,04-05 Win,04-05 Loss,04-05 PO,05-06 Salary,05-06 Win,05-06 Loss,05-06 PO,06-07 Salary,06-07 Win,06-07 Loss,06-07 PO,07-08 Salary,07-08 Win,07-08 Loss,07-08 PO,08-09 Salary,08-09 Win,08-09 Loss,08-09 PO,09-10 Salary,09-10 Win,09-10 Loss,09-10 PO,10-11 Salary,10-11 Win,10-11 Loss,10-11 PO,11-12 Salary,11-12 Win,11-12 Loss,11-12 PO,12-13 Salary,12-13 Win,12-13 Loss,12-13 PO,13-14 Salary,13-14 Win,13-14 Loss,13-14 PO
Atlanta Hawks,Southeast,Eastern,51179169,33,49,0,55620088,35,47,0,64372340,28,54,0,40684848,16,69,0,42944553,26,56,0,48456234,30,52,0,55501133,37,54,1,68168841,47,35,1,65046378,53,29,1,70099179,44,38,1,70628079,40,26,1,53089031,44,38,1,61239127,38,44,1
Boston Celtics,Atlantic,Eastern,47469112,49,33,1,52423200,44,38,0,60185916,36,46,1,64577356,45,37,1,56907300,33,49,0,62622805,24,58,0,74060475,66,16,2,79188973,62,20,1,83552174,50,32,1,81769284,56,26,1,78714199,39,27,1,60480464,41,40,1,70885503,25,57,0
Brooklyn Nets,Atlantic,Eastern,75172371,52,30,1,60350424,49,33,1,63273120,47,35,1,54729028,42,40,1,66030223,49,33,1,64372808,41,41,1,61366182,34,48,0,62666523,34,48,0,59366715,12,70,0,58494181,24,58,0,60857455,22,44,0,84486162,49,33,1,102589967,44,38,1
Charlotte Bobcats,Southeast,Eastern,0,0,0,0,0,0,0,0,0,0,0,0,23380124,18,64,0,33458932,26,56,0,41689161,33,49,0,52684792,32,50,0,62507774,35,47,0,68141416,44,38,1,65672517,34,48,0,57902024,7,59,0,56820187,21,61,0,0,0,0,1
Chicago Bulls,Central,Eastern,42592857,21,61,0,44468592,30,52,0,54983480,23,59,0,57276136,47,35,1,57166530,41,41,1,54754904,49,33,1,63084166,33,49,0,67705816,41,41,1,69219401,41,41,1,53658187,62,20,1,68904547,50,16,1,74809630,45,37,1,73363715,48,34,1
Cleveland Cavaliers,Central,Eastern,45649974,29,53,0,49610440,17,65,0,46183424,35,47,0,49175272,42,40,0,50836871,50,32,1,62992729,50,32,1,81137583,45,37,1,90833539,66,16,1,83398534,61,21,1,53928558,19,63,0,50975599,21,45,0,48998938,24,58,0,66654061,33,49,0
Dallas Mavericks,Southwest,West,57363430,57,25,1,72155176,60,22,1,79286720,52,30,1,91553496,58,24,1,97881086,60,22,1,88531846,67,15,1,101021688,51,31,1,94830398,50,32,1,88435117,55,27,1,84643496,57,25,2,76334980,36,30,1,65237894,41,41,0,67938658,49,33,1
Denver Nuggets,Northwest,West,54426938,27,55,0,49056548,17,65,0,39336148,43,39,1,45621812,49,33,1,55956608,44,38,1,65370484,45,37,1,82581955,50,32,1,69422003,54,28,1,74335812,53,29,1,67650513,50,32,1,58553173,38,28,1,65059814,57,25,1,65782065,36,46,0
Detroit Pistons,Central,Eastern,42355177,50,32,1,47777892,50,32,1,53317832,54,28,2,54574980,54,28,1,59619275,64,18,1,58767602,53,29,1,65898875,59,23,1,71084287,39,43,1,59223927,27,55,0,65020029,30,52,0,70631657,25,41,0,67009791,29,53,0,62387432,29,53,0
Golden State Warriors,Pacific,West,47681152,21,61,0,47737716,38,44,0,52934408,37,45,0,54943724,34,48,0,57115566,34,48,0,64985588,42,40,1,61019997,48,34,0,67416431,29,53,0,65154331,26,56,0,68367250,36,46,0,57197472,23,43,0,70699736,47,35,1,72503122,51,31,1
